,head,variable,value
0,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37,concept_vocab_index,vi980
1,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,concept_vocab_index,vi1164
2,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,concept_vocab_index,vi909
3,Course1_W5-S2-L4_IBM_Model_2_11-27,concept_vocab_index,vi873
4,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi411
5,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi1012
6,Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,concept_vocab_index,vi371
7,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi573
8,Course2_W2-S1-L2_Estimating_N-gram_Probabilities_9-38,concept_vocab_index,vi55
9,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1124
10,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,concept_vocab_index,vi122
11,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10,concept_vocab_index,vi1451
12,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,concept_vocab_index,vi1067
13,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi835
14,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi818
15,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi27
16,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi76
17,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi699
18,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi848
19,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi937
20,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,concept_vocab_index,vi915
21,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,concept_vocab_index,vi27
22,Course2_W7-S2-L7_Calculating_TF-IDF_Cosine_Scores_12-47,concept_vocab_index,vi432
23,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40,concept_vocab_index,vi47
24,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,concept_vocab_index,vi770
25,Course2_W1-S2-L1_Regular_Expressions_11-25,concept_vocab_index,vi1124
26,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi1057
27,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,concept_vocab_index,vi134
28,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,concept_vocab_index,vi1285
29,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi43
30,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,concept_vocab_index,vi1284
31,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,l_text_topics,topic_7
32,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi822
33,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi1443
34,Course2_W3-S2_L5_Other_Sentiment_Tasks_11-01,concept_vocab_index,vi257
35,Course2_W2-S1-L7_Good-Turing_Smoothing_15-35,concept_vocab_index,vi116
36,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,concept_vocab_index,vi1266
37,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi340
38,Course2_W3-S2_L4_Learning_Sentiment_Lexicons_14-45,concept_vocab_index,vi988
39,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_12
40,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,concept_vocab_index,vi303
41,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi228
42,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,concept_vocab_index,vi124
43,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,concept_vocab_index,vi1341
44,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi131
45,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi116
46,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,concept_vocab_index,vi545
47,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1206
48,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,concept_vocab_index,vi993
49,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,concept_vocab_index,vi293
50,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,concept_vocab_index,vi55
51,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,concept_vocab_index,vi770
52,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,level,level_2
53,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,concept_vocab_index,vi1007
54,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,concept_vocab_index,vi62
55,Course1_W10-S2-L7_Summary_2-50,concept_vocab_index,vi512
56,Course2_W3-S2_L1_What_is_Sentiment_Analysis_7-17,concept_vocab_index,vi1209
57,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,concept_vocab_index,vi848
58,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi112
59,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,concept_vocab_index,vi55
60,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,level,level_3
61,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,concept_vocab_index,vi137
62,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi873
63,Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,concept_vocab_index,vi1084
64,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,concept_vocab_index,vi943
65,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,concept_vocab_index,vi770
66,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,concept_vocab_index,vi143
67,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,concept_vocab_index,vi255
68,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi171
69,Course2_W3-S2_L4_Learning_Sentiment_Lexicons_14-45,concept_vocab_index,vi943
70,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi974
71,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_14
72,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi993
73,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,concept_vocab_index,vi982
74,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi468
75,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,concept_vocab_index,vi1106
76,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_12
77,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_8
78,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,level,level_1
79,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi917
80,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi265
81,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,l_text_topics,topic_1
82,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi603
83,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,l_text_topics,topic_2
84,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi944
85,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1414
86,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,level,level_1
87,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi1164
88,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,concept_vocab_index,vi873
89,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,level,level_2
90,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,concept_vocab_index,vi27
91,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi62
92,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi1434
93,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi774
94,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi47
95,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi257
96,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,concept_vocab_index,vi586
97,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,l_text_topics,topic_14
98,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,concept_vocab_index,vi345
99,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,concept_vocab_index,vi915
100,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,level,level_3
101,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi635
102,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06,concept_vocab_index,vi512
103,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,concept_vocab_index,vi1299
104,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,concept_vocab_index,vi55
105,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi43
106,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,concept_vocab_index,vi134
107,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi442
108,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi1414
109,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,concept_vocab_index,vi974
110,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,concept_vocab_index,vi664
111,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,concept_vocab_index,vi134
112,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi134
113,Course2_W6-S1-L4_CKY_Example_21-52,concept_vocab_index,vi293
114,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,concept_vocab_index,vi134
115,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi116
116,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi1451
117,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi631
118,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi1124
119,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,concept_vocab_index,vi873
120,Course2_W3-S1-L2_Naive_Bayes_3-19,concept_vocab_index,vi433
121,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,concept_vocab_index,vi47
122,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37,prerequisite,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28
123,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,concept_vocab_index,vi98
124,Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,concept_vocab_index,vi460
125,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi116
126,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,concept_vocab_index,vi1081
127,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi1003
128,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,l_text_topics,topic_6
