,head,relation,tail,cos_sim_score
0,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_1,0.7358018017159893
1,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_11,0.7106018910815772
2,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_1,0.6163154743398394
3,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_7,0.5930682288455849
4,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_4,0.8531725581295302
5,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_12,0.9273666587232575
6,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_14,0.876452003692023
7,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_10,0.8005721029485886
8,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_12,0.7236943384107274
9,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_5,0.6797055256872021
10,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_7,0.6952522607547553
11,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_11,0.687955200112569
12,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_5,0.8039033410531822
13,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_8,0.8603506871688447
14,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_10,0.9017614718801088
15,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_12,0.8564366883622841
16,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_12,0.8567358601313643
17,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_7,0.856362529838038
18,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_11,0.8730483688566588
19,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_12,0.9067820680274804
20,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_11,0.8265426440661018
21,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_10,0.7604369884780774
22,Course2_W6-S1-L2_Grammar_Transforms_12-05,l_text_topics,topic_1,0.7833214734874235
23,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,l_text_topics,topic_1,0.825476036237473
24,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,l_text_topics,topic_8,0.8589905088481123
25,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_7,0.5756584628102532
26,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_9,0.7730114692089151
27,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,l_text_topics,topic_6,0.6363669235291203
28,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_2,0.7980942571074295
29,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_14,0.8702974386656909
30,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_2,0.8494354019624912
31,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_9,0.860890807920522
32,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,l_text_topics,topic_6,0.7566768295710472
33,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_7,0.9139439985907836
34,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_8,0.820346297036798
35,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_12,0.9159488302609577
36,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,l_text_topics,topic_11,0.6848197541595762
37,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,l_text_topics,topic_7,0.8734467961241702
38,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,l_text_topics,topic_11,0.8939490199907159
