,head1,relation1,head2,relation2,cos_sim_score
0,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,0.6860188658387857
1,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,0.6860188658387857
2,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,0.7214990010927909
3,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,0.7214990010927909
4,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,0.8983348831198098
5,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,0.8983348831198098
6,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,0.8983348831198098
7,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,0.6867309115957354
8,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,0.6867309115957354
9,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,0.6919477753633504
10,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,0.6919477753633504
11,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,0.6919477753633504
12,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,0.7957556859046855
13,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,0.7957556859046855
14,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,0.7957556859046855
15,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,0.7957556859046855
16,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,0.6895117214728695
17,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,0.8058338986922734
18,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,0.8058338986922734
19,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,0.8058338986922734
20,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,0.7259393387783992
21,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,l_text_topics,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,0.6719189215432481
22,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,l_text_topics,Course2_W6-S1-L2_Grammar_Transforms_12-05,l_text_topics,0.7857317519994058
