,head,relation,tail,cos_sim_score
0,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_1,0.821792756287524
1,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_11,0.8407096835361193
2,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_1,0.7767817334271057
3,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_7,0.6940110976920978
4,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_4,0.8679686309953142
5,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_12,0.8787842768981936
6,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_14,0.9274620928431568
7,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_10,0.8015043588984233
8,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_12,0.6243559354687139
9,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_5,0.8088220084052539
10,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_7,0.8810340156220083
11,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_11,0.8463963297648146
12,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_5,0.6327763959460996
13,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_8,0.8452069678221796
14,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_10,0.8460591610223926
15,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_12,0.6919826961846967
16,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_12,0.859980295892845
17,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_7,0.9110480490037832
18,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_11,0.885057614967866
19,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_12,0.9219816856733011
20,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_11,0.7528362172215749
21,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,l_text_topics,topic_10,0.7133963617702784
22,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,l_text_topics,topic_1,0.8729154331525167
23,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_1,0.8825602179988311
24,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,l_text_topics,topic_8,0.8721706084282489
25,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,l_text_topics,topic_7,0.7183279913265176
26,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,l_text_topics,topic_9,0.7837777916444535
27,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_6,0.8139005113207385
28,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_2,0.7980942571074295
29,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_14,0.8702974386656909
30,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_2,0.8474305564948069
31,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_9,0.8461074086695834
32,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,l_text_topics,topic_6,0.8130861478496877
33,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_7,0.9119802077895941
34,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_8,0.8497338183006061
35,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_12,0.9053743048447422
36,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_11,0.8044453829125175
37,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_7,0.8857140471513646
38,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_11,0.8897406888455891
